feature,delta_pct,feature_value,pred_quality,delta_quality
volatile acidity,-20.0,0.4155970149253732,5.853031047472803,0.11749921738981595
volatile acidity,-10.0,0.4675466417910449,5.794281438777895,0.05874960869490753
volatile acidity,-5.0,0.49352145522388063,5.764906634430441,0.02937480434745421
volatile acidity,0.0,0.5194962686567165,5.735531830082987,0.0
volatile acidity,5.0,0.5454710820895523,5.706157025735534,-0.02937480434745332
volatile acidity,10.0,0.5714458955223882,5.67678222138808,-0.05874960869490753
volatile acidity,20.0,0.6233955223880597,5.618032612693172,-0.11749921738981506
fixed acidity,-20.0,6.709701492537313,5.692226134717081,-0.04330569536590634
fixed acidity,-10.0,7.548414179104477,5.7138789824000344,-0.021652847682952725
fixed acidity,-5.0,7.967770522388059,5.724705406241511,-0.010826423841476362
fixed acidity,0.0,8.387126865671641,5.735531830082987,0.0
fixed acidity,5.0,8.806483208955223,5.746358253924464,0.01082642384147725
fixed acidity,10.0,9.225839552238806,5.757184677765941,0.021652847682953613
fixed acidity,20.0,10.06455223880597,5.7788375254488935,0.04330569536590634
pH,-20.0,2.659686567164179,5.995151995608141,0.25962016552515355
pH,-10.0,2.992147388059701,5.865341912845564,0.12981008276257722
pH,-5.0,3.158377798507462,5.800436871464276,0.06490504138128905
pH,0.0,3.3246082089552234,5.735531830082987,0.0
pH,5.0,3.4908386194029846,5.670626788701699,-0.06490504138128816
pH,10.0,3.657069029850746,5.605721747320411,-0.12981008276257633
pH,20.0,3.9895298507462678,5.475911664557834,-0.25962016552515355
total sulfur dioxide,-20.0,30.559701492537314,5.755476143889299,0.01994431380631223
total sulfur dioxide,-10.0,34.37966417910447,5.745503986986144,0.00997215690315656
total sulfur dioxide,-5.0,36.28964552238806,5.7405179085345654,0.00498607845157828
total sulfur dioxide,0.0,38.19962686567164,5.735531830082987,0.0
total sulfur dioxide,5.0,40.10960820895522,5.73054575163141,-0.0049860784515773915
total sulfur dioxide,10.0,42.019589552238806,5.7255596731798315,-0.009972156903155671
total sulfur dioxide,20.0,45.839552238805965,5.715587516276676,-0.019944313806311342
free sulfur dioxide,-20.0,12.132089552238806,5.729212975803472,-0.006318854279514952
free sulfur dioxide,-10.0,13.648600746268656,5.73237240294323,-0.003159427139757476
free sulfur dioxide,-5.0,14.40685634328358,5.733952116513109,-0.0015797135698782938
free sulfur dioxide,0.0,15.165111940298507,5.735531830082987,0.0
free sulfur dioxide,5.0,15.923367537313434,5.737111543652866,0.001579713569879182
free sulfur dioxide,10.0,16.68162313432836,5.7386912572227455,0.003159427139758364
free sulfur dioxide,20.0,18.198134328358208,5.741850684362503,0.00631885427951584
residual sugar,-20.0,1.9979104477611942,5.728617042316196,-0.0069147877667914415
residual sugar,-10.0,2.2476492537313435,5.732074436199591,-0.003457393883396165
residual sugar,-5.0,2.372518656716418,5.733803133141289,-0.0017286969416980824
residual sugar,0.0,2.4973880597014926,5.735531830082987,0.0
residual sugar,5.0,2.622257462686567,5.737260527024685,0.0017286969416980824
residual sugar,10.0,2.747126865671642,5.738989223966383,0.003457393883396165
residual sugar,20.0,2.996865671641791,5.7424466178497795,0.00691478776679233
